LD,Velocity (km/s),a (degrees),$ (degrees),DI
2,1.5,90,45,0.47767
2,1.5,90,30,0.57375
2,1.5,90,15,0.62575
2,1.5,90,0,0.62946
2,1.5,0,75,0.142
2,1.5,0,60,0.381
2,1.5,0,45,0.51693
2,1.5,0,30,0.62175
2,1.5,0,15,0.70347
2,1.5,0,0,0.70593
2,1.5,0,60,0.36493
2,1.81,90,75,0.26807
2,1.81,90,60,0.47779
2,1.81,90,45,0.60855
2,1.81,90,30,0.68933
2,1.81,90,15,0.7608
2,1.81,90,0,0.78483
2,1.81,0,75,0.18701
2,1.81,0,60,0.46632
2,1.81,0,45,0.6483
2,1.81,0,30,0.76794
2,1.81,0,15,0.82359
2,1.81,0,0,0.85498
2,1.81,0,45,0.618
2,2.15,90,75,0.31657
2,2.15,90,60,0.58758
2,2.15,90,45,0.74793
2,2.15,90,30,0.85507
2,2.15,90,15,0.92311
2,2.15,90,0,0.93314
2,2.15,0,75,0.2123
2,2.15,0,60,0.58282
2,2.15,0,45,0.78395
2,2.15,0,30,0.94688
2,2.15,0,15,1.00895
2,2.15,0,0,1.0276
4,0.25,90,75,0
4,0.25,90,60,0.00143
4,0.25,90,45,0.00766
4,0.25,90,30,0.01312
4,0.25,90,15,0.01763
4,0.25,90,0,0.01896
4,0.25,0,75,0.00004
4,0.25,0,60,0.00419
4,0.25,0,45,0.00769
4,0.25,0,30,0.0156
4,0.25,0,15,0.02688
4,0.25,0,0,0.03437
4,0.5,90,75,0.00519
4,0.5,90,60,0.05142
4,0.5,90,45,0.091
4,0.5,90,30,0.10755
4,0.5,90,15,0.11392
4,0.5,90,0,0.11601
4,0.5,0,75,0.00737
4,0.5,0,60,0.03756
4,0.5,0,45,0.08924
4,0.5,0,30,0.12051
4,0.5,0,15,0.1399
4,0.5,0,0,0.18887
4,1,90,75,0.13955
4,1,90,60,0.22296
4,1,90,45,0.26757
4,1,90,30,0.3206
4,1,90,15,0.34558
4,1,90,0,0.35602
4,1,0,75,0.06342
4,1,0,60,0.1961
4,1,0,45,0.28365
4,1,0,30,0.3768
4,1,0,15,0.46929
4,1,0,0,0.51507
4,1.25,90,75,0.19908
4,1.25,90,60,0.2946
4,1.25,90,45,0.39495
4,1.25,90,30,0.43447
4,1.25,90,15,0.45945
4,1.25,90,0,0.45403
4,1.25,0,75,0.10015
4,1.25,0,60,0.26889
4,1.25,0,45,0.40005
4,1.25,0,30,0.50655
4,1.25,0,15,0.6184
4,1.25,0,0,0.64251
4,1.5,90,75,0.21983
4,1.5,90,60,0.39095
4,1.5,90,45,0.46517
4,1.5,90,30,0.52555
4,1.5,90,15,0.56189
4,1.5,90,0,0.58251
4,1.5,0,75,0.10933
4,1.5,0,60,0.3243
4,1.5,0,45,0.48852
4,1.5,0,30,0.62702
4,1.5,0,15,0.72083
4,1.5,0,0,0.76324
4,1.81,90,75,0.25409
4,1.81,90,60,0.46432
4,1.81,90,45,0.5801
4,1.81,90,30,0.6594
4,1.81,90,15,0.71745
4,1.81,90,0,0.75207
4,1.81,0,75,0.11384
4,1.81,0,60,0.43498
4,1.81,0,45,0.63278
4,1.81,0,30,0.75773
4,1.81,0,15,0.87267
4,1.81,0,0,0.89054
4,2.15,90,75,0.3028
4,2.15,90,60,0.54222
4,2.15,90,45,0.72227
4,2.15,90,30,0.83957
4,2.15,90,15,0.92741
4,2.15,90,0,0.9759
4,2.15,0,75,0.13629
4,2.15,0,60,0.53413
4,2.15,0,45,0.77948
4,2.15,0,30,0.9542
4,2.15,0,15,1.05718
4,2.15,0,0,1.05821
